country,code,tfr_early,ctfr_early,te_early,tfr_recent,ctfr_recent,te_recent,delta_tfr,delta_ctfr,timing_contrib,cbpi,region
Malta,MLT,2.0055525,2.0405490770621766,-0.034996577062176626,1.568385,1.6869292018875977,-0.11854420188759773,0.43716749999999993,0.35361987517457893,0.08354762482542111,0.19111124414651393,Sub-Saharan Africa
Marshall Islands,MHL,6.9440375,6.490745789727791,0.4532917102722096,4.0783225,4.118971271872858,-0.04064877187285809,2.8657150000000007,2.3717745178549334,0.4939404821450677,0.17236203954163884,East Asia & Pacific
Martinique,MTQ,2.827845,2.8216574366202165,0.006187563379783656,1.7557675000000001,1.8990698201477378,-0.1433023201477378,1.0720774999999998,0.9225876164724787,0.14948988352752146,0.1394394374730572,Other
Mauritania,MRT,5.7721425,5.618595867970281,0.1535466320297192,4.779742499999999,4.882383003187368,-0.10264050318736828,0.9924000000000008,0.7362128647829138,0.25618713521708747,0.25814906813491256,Other
Mauritius,MUS,2.7620475,2.7852337881439753,-0.023186288143975275,1.7122425,1.7530259547311808,-0.040783454731180835,1.049805,1.0322078334127944,0.01759716658720556,0.0167623192756803,Sub-Saharan Africa
Mayotte,MYT,6.3831775,5.95764177471656,0.42553572528343997,4.23789,4.483814618477634,-0.2459246184776338,2.1452875000000002,1.4738271562389258,0.6714603437610738,0.3129931739969928,Other
Mexico,MEX,4.950355,4.435301756799248,0.5150532432007515,2.3142725,2.3328492044939377,-0.018576704493938,2.6360825,2.1024525523053104,0.5336299476946895,0.20243294650098753,Latin America
Micronesia (country),FSM,6.169885,5.76395383172635,0.40593116827364994,3.64227,3.625761892766695,0.016508107233304647,2.527615,2.138191938959655,0.3894230610403453,0.15406739596035998,East Asia & Pacific
Moldova,MDA,2.2941275,2.16543412134625,0.12869337865375052,1.34958,1.6882948313037645,-0.33871483130376445,0.9445475000000001,0.47713929004248534,0.467408209957515,0.49484881380503887,Europe
Monaco,MCO,2.2303675,2.3245393911577494,-0.09417189115774938,1.8474675,2.096925728668582,-0.2494582286685818,0.3828999999999998,0.22761366248916737,0.15528633751083243,0.4055532450008684,Europe
Mongolia,MNG,6.438734999999999,5.539079256487943,0.8996557435120569,2.0494425,2.638808208678631,-0.5893657086786306,4.3892925,2.900271047809312,1.4890214521906875,0.3392395134729999,East Asia & Pacific
